vocabulary,key_id,length,n,exceed,fpr,fpr_lo,fpr_hi,p_k,p_lo,p_hi,mean_z,sd_z
SmolLM2,kgw-06,512,511,10,0.019569471624266144,0.009423236337925626,0.03569377572599174,0.24398698500708121,0.242301885378355,0.24567803963726456,-0.3129052927153442,1.3123211712234402
SmolLM2,kgw-07,128,4857,460,0.09470866790199711,0.08661635016224724,0.10329182686097019,0.2817954694076024,0.2806539352416243,0.2829391235433705,0.8123003048620991,1.1525905745965508
SmolLM2,kgw-07,256,1875,305,0.16266666666666665,0.14623262821264324,0.1801631855950314,0.28199877213572455,0.2807000843458619,0.2833002005327571,1.1557392946136964,1.1796937900889302
SmolLM2,kgw-07,512,511,132,0.2583170254403131,0.22087921747800424,0.29857686388813376,0.2804843310558433,0.2787212692381024,0.2822524985735134,1.548576925133574,1.3241435152813508
SmolLM2,kgw-08,128,4857,297,0.06114885731933292,0.05457292817917935,0.06825816586605434,0.26870839551300324,0.2675836404300366,0.26983539774592596,0.4804100992284614,1.1651029531984942
SmolLM2,kgw-08,256,1875,168,0.0896,0.0770554108174187,0.10344486401706642,0.26903243861220966,0.26775264220838335,0.2703151386769292,0.6936990700518233,1.2097575768308668
SmolLM2,kgw-08,512,511,73,0.14285714285714285,0.11367781157226126,0.17623997279962586,0.2678585040782183,0.26612068432621594,0.2696017233107331,0.9179578670725828,1.348713692239488
SmolLM2,kgw-09,128,4857,137,0.02820671196211653,0.023732989313669725,0.03325883148357229,0.2584064119116685,0.2572957401528746,0.25951943094023144,0.21632604097216096,1.0886476307817288
SmolLM2,kgw-09,256,1875,86,0.04586666666666667,0.03684839561114911,0.0563373456522977,0.25745884159900034,0.25619708123322715,0.2587236511744584,0.2729247019641174,1.1610938813561968
SmolLM2,kgw-09,512,511,32,0.06262230919765166,0.043224284269854474,0.08725694500200885,0.25692976156565067,0.2552152432543208,0.2586499336705396,0.3616259187830709,1.3042315708249668
Qwen2.5,kgw-00,128,4857,261,0.053736874613959235,0.04756207323750748,0.06045472542712133,0.2697164793054011,0.2685910237286165,0.2708441697084448,0.5039041478766272,1.1291141857811546
Qwen2.5,kgw-00,256,1875,170,0.09066666666666667,0.07805133752725239,0.1045787120336861,0.2677677287454303,0.26649091823995924,0.26904745392585233,0.6425747202442352,1.2165031087411466
Qwen2.5,kgw-00,512,511,70,0.136986301369863,0.1083680970501836,0.16988007684471867,0.26763220908803814,0.2658979917597121,0.26937181165945434,0.9003618916823013,1.3253531298248742
Qwen2.5,kgw-01,128,4857,58,0.01194152769199094,0.00907984702734353,0.01541016578860153,0.24450310184502833,0.2434133311094178,0.24559535217419562,-0.14024736476479716,1.0763838409942499
Qwen2.5,kgw-01,256,1875,20,0.010666666666666666,0.006527310410997237,0.01642594127373479,0.24436907670183827,0.24313015013788805,0.24561121171963582,-0.2045252563772028,1.1242541914980395
