key_id,hashing_key,length,n_texts,exceed,fpr,green_tokens,eligible_positions,p_k,mean_z,sd_z
kgw-039,1643632103,128,800,81,0.10125,27667,98487,0.2809203245098338,0.7930394671915232,1.1578197928672334
kgw-039,1643632103,256,313,47,0.1501597444089457,21648,76943,0.28135113005731516,1.134007173547103,1.1852322937254751
kgw-039,1643632103,512,93,24,0.25806451612903225,12721,45641,0.2787186959093797,1.4733293981323397,1.2437550115729956
kgw-040,436036633,128,800,11,0.01375,24347,98487,0.24721029171362718,-0.07199226476505877,1.0532309500511217
kgw-040,436036633,256,313,1,0.003194888178913738,18998,76943,0.24691005029697308,-0.11211833350409925,0.9814089606119479
kgw-040,436036633,512,93,3,0.03225806451612903,11381,45641,0.24935912885344316,-0.035324766871093295,1.1838659021383555
kgw-041,439191917,128,800,18,0.0225,25142,98487,0.2552824230609116,0.1353410722688552,1.0716792670715256
kgw-041,439191917,256,313,12,0.038338658146964855,19671,76943,0.25565678489271276,0.2046522684495929,1.1503295085643925
kgw-041,439191917,512,93,4,0.043010752688172046,11744,45641,0.2573125041081484,0.37731522531387646,1.2697067634542922
kgw-042,831583573,128,800,32,0.04,25810,98487,0.26206504411749776,0.30912256954556444,1.1207628861521213
kgw-042,831583573,256,313,17,0.054313099041533544,20270,76943,0.2634417685819373,0.48493923763752267,1.165965716998478
kgw-042,831583573,512,93,11,0.11827956989247312,12059,45641,0.26421419337876034,0.7264983163541135,1.2550315599619144
kgw-043,253840919,128,800,49,0.06125,26375,98487,0.2678018418674546,0.458395133181828,1.1728078623913782
kgw-043,253840919,256,313,37,0.1182108626198083,20872,76943,0.27126574217277727,0.7734666227091741,1.2907987489974995
kgw-043,253840919,512,93,16,0.17204301075268819,12390,45641,0.27146644464407005,1.106577835340818,1.3187238693986303
kgw-044,763628513,128,800,35,0.04375,26101,98487,0.26501974879933393,0.3833956336275998,1.1846024787030538
kgw-044,763628513,256,313,22,0.07028753993610223,20461,76943,0.2659241256514563,0.5771072239065157,1.1970567786330282
kgw-044,763628513,512,93,4,0.043010752688172046,11943,45641,0.2616726189172016,0.5960853916501374,1.1588578589287533
kgw-045,518933819,128,800,24,0.03,25222,98487,0.2560947130078081,0.15735751294181255,1.0704054066943898
kgw-045,518933819,256,313,11,0.03514376996805112,19696,76943,0.2559817007395085,0.2180002726580129,1.1363827207194948
kgw-045,518933819,512,93,5,0.053763440860215055,11480,45641,0.2515282311956355,0.0813623728902096,1.10797562339431
kgw-046,1049431477,128,800,4,0.005,23469,98487,0.2382954095464376,-0.3000375811892407,1.024612982526665
kgw-046,1049431477,256,313,2,0.006389776357827476,18262,76943,0.23734452776730827,-0.4581001804409835,1.0716505240053404
kgw-046,1049431477,512,93,0,0.0,10653,45641,0.23340855809469555,-0.8527541002816726,1.0941149867173865
kgw-047,757715731,128,800,71,0.08875,27610,98487,0.28034156792267,0.7769971061244262,1.1760555032564093
kgw-047,757715731,256,313,52,0.16613418530351437,21588,76943,0.2805713320250055,1.1087648626371662,1.2381088048299296
kgw-047,757715731,512,93,23,0.24731182795698925,12726,45641,0.27882824653272276,1.4772966296499006,1.3220941455412314
kgw-048,1001633513,128,800,64,0.08,27388,98487,0.2780874633200321,0.7198922570849579,1.111277801128442
kgw-048,1001633513,256,313,45,0.14376996805111822,21463,76943,0.2789467527910271,1.047716919864803,1.2216164624233259
kgw-048,1001633513,512,93,28,0.3010752688172043,12774,45641,0.27987993251681603,1.532183394830083,1.399674546142631
kgw-049,1432116443,128,800,3,0.00375,23998,98487,0.243666676820291,-0.16166669205445122,1.0148921899908987
kgw-049,1432116443,256,313,4,0.012779552715654952,18775,76943,0.24401180094355562,-0.2164026312204687,1.0998248512252944
kgw-049,1432116443,512,93,0,0.0,11177,45641,0.24488946342104687,-0.2610820334942145,1.1333146754245549
kgw-050,1053616877,128,800,23,0.02875,25665,98487,0.26059276858874775,0.27163193093704074,1.0791608190966548
kgw-050,1053616877,256,313,11,0.03514376996805112,20115,76943,0.26142729033180406,0.41245289838313803,1.133736702365849
kgw-050,1053616877,512,93,3,0.03225806451612903,11796,45641,0.2584518305909161,0.4359258252620178,1.1784113240329175
kgw-051,452277701,128,800,7,0.00875,23780,98487,0.2414531867149979,-0.21847085918949866,1.0602571707231625
kgw-051,452277701,256,313,6,0.019169329073482427,18641,76943,0.24227025200473076,-0.28072623693642684,1.1736262642576427
kgw-051,452277701,512,93,3,0.03225806451612903,11044,45641,0.24197541684012183,-0.41367016238657045,1.2444397250148256
kgw-052,118837471,128,800,6,0.0075,23475,98487,0.23835633129245484,-0.299627758909563,1.0452355758882184
kgw-052,118837471,256,313,2,0.006389776357827476,18375,76943,0.23881314739482473,-0.4080326191872382,1.107360457625498
kgw-052,118837471,512,93,0,0.0,10962,45641,0.24017878661729586,-0.5081000167829667,1.3009742854168378
kgw-053,1181296471,128,800,19,0.02375,25281,98487,0.25669377684364436,0.17189655440110105,1.0692187573028316
kgw-053,1181296471,256,313,14,0.04472843450479233,19697,76943,0.2559946973733803,0.21859885758622372,1.1229698441881946
kgw-053,1181296471,512,93,6,0.06451612903225806,11796,45641,0.2584518305909161,0.4388188756917498,1.160865777196514
kgw-054,1322816951,128,800,9,0.01125,23883,98487,0.24249901002162721,-0.19243425032983205,1.0633569888077299
kgw-054,1322816951,256,313,2,0.006389776357827476,18585,76943,0.24154244050790846,-0.3076086263236285,1.1924407348429442
kgw-054,1322816951,512,93,2,0.021505376344086023,10972,45641,0.24039788786398195,-0.49680556885902005,1.2720304422390547
kgw-055,1518255493,128,800,16,0.02,24530,98487,0.24906840496715302,-0.02538899742093947,1.0751706767857634
kgw-055,1518255493,256,313,3,0.009584664536741214,19295,76943,0.25077005055690577,0.025336897381397213,1.0943433314331523
kgw-055,1518255493,512,93,2,0.021505376344086023,11462,45641,0.2511338489516005,0.061059475535405736,1.1682889888557602
kgw-056,424208963,128,800,5,0.00625,23517,98487,0.23878278351457552,-0.28736662810028935,1.0546275700761185
