key_id,hashing_key,length,n_texts,exceed,fpr,green_tokens,eligible_positions,p_k,mean_z,sd_z
kgw-025,1784745587,256,588,2,0.003401360544217687,32716,144142,0.22697062618806454,-0.8305320064999985,1.078610343354029
kgw-025,1784745587,512,179,1,0.00558659217877095,19647,86859,0.22619417676924672,-1.2038053192595148,1.1363065069665133
kgw-026,217344859,128,1500,7,0.004666666666666667,43179,184186,0.23443149859381276,-0.3977627750082704,1.0388735545220626
kgw-026,217344859,256,588,7,0.011904761904761904,34142,144142,0.23686364834676915,-0.4736349275176963,1.1502597900064644
kgw-026,217344859,512,179,4,0.0223463687150838,20609,86859,0.23726959785399326,-0.6477450039762622,1.2675397666768309
kgw-027,958844351,128,1500,32,0.021333333333333333,46805,184186,0.25411811972679793,0.10511169074826686,1.0899491500185974
kgw-027,958844351,256,588,16,0.027210884353741496,36943,144142,0.25629587490113914,0.22664861874581818,1.1153999970107937
kgw-027,958844351,512,179,7,0.03910614525139665,22243,86859,0.2560816956216397,0.306585569889186,1.1528603671367201
kgw-028,874410811,128,1500,8,0.005333333333333333,43887,184186,0.2382754389584442,-0.30196393429172586,1.0572948346003777
kgw-028,874410811,256,588,7,0.011904761904761904,34332,144142,0.2381817929541702,-0.430344349186496,1.0962441434231744
kgw-028,874410811,512,179,1,0.00558659217877095,20655,86859,0.23779919179359651,-0.6325050542810998,1.1748379108786635
kgw-029,111708689,128,1500,62,0.04133333333333333,49080,184186,0.2664697642600415,0.4209477724283001,1.087698816564082
kgw-029,111708689,256,588,41,0.06972789115646258,38350,144142,0.26605708259910366,0.5796145676364379,1.1995188248893691
kgw-029,111708689,512,179,29,0.16201117318435754,23403,86859,0.26943667322902637,0.9854534635105617,1.3537071384121446
kgw-030,181721791,128,1500,16,0.010666666666666666,43684,184186,0.23717329221547784,-0.3294733783386769,1.10358549261943
kgw-030,181721791,256,588,4,0.006802721088435374,33847,144142,0.23481705540369913,-0.5506753733294156,1.124845537923838
kgw-030,181721791,512,179,1,0.00558659217877095,20458,86859,0.2355311481826869,-0.7409622515350098,1.2816157445106406
kgw-031,51907903,128,1500,71,0.04733333333333333,48073,184186,0.2610024648996124,0.28517121475101365,1.1845021446791326
kgw-031,51907903,256,588,47,0.07993197278911565,37683,144142,0.26142970126680637,0.4179579510353501,1.2730113832913559
